channel,decision,flagged_trials,trial_fraction,independent_metrics,variance_trials,peak_to_peak_trials,global_correlation_trials,neighbor_correlation_trials,median_std_uv,median_peak_to_peak_uv,median_global_correlation,median_neighbor_correlation
E37,pass,1,0.09090909090909091,1,0,0,0,1,4.708984946331862,47.43818489305943,0.21835406625352397,0.5944880442949585
E38,pass,0,0.0,0,0,0,0,0,13.637737136448186,150.36710303825794,0.29151417485622005,0.6854858655045792
E39,pass,0,0.0,0,0,0,0,0,8.763523469427877,83.27924852354157,0.3102221462600183,0.6911416645472702
E40,pass,0,0.0,0,0,0,0,0,7.692726760096026,79.0011253633561,0.2762530267355701,0.7764145557879625
E41,pass,0,0.0,0,0,0,0,0,6.063283376912182,50.58280545473497,0.25006722348210436,0.8278622681773491
E42,pass,0,0.0,0,0,0,0,0,5.307006366778791,46.12221224829443,0.25123407909461043,0.7534629222290822
E43,pass,0,0.0,0,0,0,0,0,14.848313558106113,143.1121526958887,0.35986582755236785,0.7647457937721015
E44,pass,2,0.18181818181818182,1,0,0,0,2,18.268563979527446,214.78971753137893,0.2835926538254653,0.587339336797569
E45,pass,0,0.0,0,0,0,0,0,8.38355151895532,81.36377497686027,0.35988881972413506,0.8677918146274104
E46,pass,0,0.0,0,0,0,0,0,7.249631555031645,66.29377099909976,0.36447618149612065,0.8383307878886009
E47,pass,0,0.0,0,0,0,0,0,5.8370170967589425,52.82119146113797,0.3608712755219676,0.8401136339846383
E48,pass,0,0.0,0,0,0,0,0,19.909435845778376,277.72436274480606,0.32231773272694847,0.7088018235289595
E49,pass,0,0.0,0,0,0,0,0,15.265516942720158,150.72397537519146,0.3840637184017924,0.6823586038375167
E50,pass,0,0.0,0,0,0,0,0,8.503640342311382,79.45492616036344,0.4052175995233872,0.8686463530565927
E51,pass,0,0.0,0,0,0,0,0,6.761514755768069,58.339193036251345,0.43958889257946776,0.8928104397248208
E52,pass,0,0.0,0,0,0,0,0,5.70104325661652,52.732887567484596,0.4121973241038993,0.8804154964610198
E53,pass,0,0.0,0,0,0,0,0,5.1172150935127885,48.94870405299537,0.31595249160085004,0.7639457978807
E54,pass,0,0.0,0,0,0,0,0,3.7967966272070237,39.31237110725162,0.2681018914800431,0.6795261831829456
E55,review,11,1.0,1,0,0,0,11,14.713699853860877,161.8236375063947,-0.07815389437567385,-0.16893787334931915
E56,pass,1,0.09090909090909091,1,0,0,0,1,31.665434653335023,363.5731620729189,0.20078344553068983,0.5213068651112449
E57,pass,0,0.0,0,0,0,0,0,10.698925339179937,94.45112536649003,0.43678881794606933,0.8393491963305086
E58,pass,0,0.0,0,0,0,0,0,8.171341555001153,71.51456751717188,0.45112411444835065,0.8831072391453323
E59,pass,0,0.0,0,0,0,0,0,6.6044999100101975,59.73741159632104,0.4109123293654918,0.8983664796280957
E60,pass,0,0.0,0,0,0,0,0,5.312195939920977,49.030558537052826,0.38430437407246515,0.8481127671413313
E61,pass,0,0.0,0,0,0,0,0,4.746276704912942,44.49777807791361,0.29930359512766125,0.7546228534654646
E62,pass,0,0.0,0,0,0,0,0,7.679024909177032,73.09936583107485,0.09236093166298144,0.895201224191188
