configuration,channel,median_trial_std_uv,median_trial_peak_to_peak_uv,median_channel_correlation,line_noise_ratio_50hz,median_edge_to_middle_rms_ratio,suspect,suspect_reasons
raw,E36,161.7609803651813,722.8218611914626,0.8373967349212758,18332.21137544367,0.9995820700804188,False,
raw,E37,77.88400613091252,374.8666751847187,0.75386946085892,10352.72858402531,1.017691346008019,True,variance_outlier
raw,E38,182.162109865455,790.3921726801855,0.7834865833775332,12886.977766721222,1.0152488861768731,False,
raw,E39,168.43363269602744,791.1857483587137,0.7219394009373189,3723.747881247467,1.0344991102537668,False,
raw,E40,173.83006119864555,854.8311716145927,0.7148671512736127,3257.3575550347005,1.02623307087737,False,
raw,E41,144.52968356384412,578.6936692259733,0.8068072493039925,12410.080007566901,1.0129028528144426,False,
raw,E42,61.78354647573677,341.06130224139997,0.5037817711835607,4481.3737315005055,0.990436677312998,True,variance_outlier
raw,E43,213.439630605189,954.5321384387835,0.6476288458831274,17572.356229768156,1.1232383042498122,False,
raw,E44,162.60596961106972,744.3355621736519,0.8360818203153552,13212.203514589613,1.0359906292310095,False,
raw,E45,166.95538825809845,818.5377458961884,0.6227402239602066,2705.120953631312,1.0248671549896136,False,
raw,E46,163.53519729469198,780.0467805300923,0.5670799004420886,4232.2376826430245,0.9853696874743672,False,
raw,E47,151.6343818368629,564.4395246218464,0.7482511394156383,22574.628803090123,1.0166931741853433,False,
raw,E48,226.3705662425733,1214.9054033623142,0.6207743101841312,15118.490841311732,1.1100437843461997,False,
raw,E49,188.63215518469474,896.0024265461439,0.7313778685542232,18295.754612377703,1.0107159333153226,False,
raw,E50,563.4232654053811,3183.2734015767383,0.40141640791164596,1525.2352001306492,0.9547591385021069,True,variance_outlier;peak_to_peak_outlier
raw,E51,139.55067525152222,557.4713226976473,0.6920671006479542,20686.11142816157,1.001165724642586,False,
raw,E52,160.69296801322108,692.1270406264534,0.8094850112553591,25881.11117900599,1.0097784014086033,False,
raw,E53,50.55790954180305,278.2798579209366,0.23551809135565294,4237.736732264487,1.0357683466651246,True,variance_outlier;low_correlation
raw,E54,308.9785606199412,982.2238769814433,-0.8174440229988007,89694.69876060844,1.002391772604626,True,variance_outlier;low_correlation
raw,E55,124.05877169953361,406.35276177220067,-0.7816412206724448,80647.44459536114,1.001644350383164,True,low_correlation
raw,E56,347.8274625354726,1895.9261521643166,0.4218900032096084,21753.52920359421,0.9862665820272049,True,variance_outlier;peak_to_peak_outlier
raw,E57,168.44580182694676,736.4670142464765,0.813403589059439,16688.24115108953,1.0315946462432812,False,
raw,E58,167.95861293264915,634.4729450380346,0.8469616621336707,16158.658761420666,1.0045505508045165,False,
raw,E59,154.84903563240348,594.3772998350653,0.8379137408098094,24008.93594795943,1.0076301889346737,False,
raw,E60,112.71541816703827,455.7782177030173,0.7196178701817185,20887.979495328993,1.014664077599323,False,
raw,E61,63.74841563151242,280.77428429468364,0.5452875945349607,13149.630519294307,1.0075242274427185,True,variance_outlier
raw,E62,132.31352381340332,481.1451896265146,0.7893808800856337,50344.45480593484,1.0110287704286278,False,
raw,E63,274.83334353388744,1320.942369690587,0.49716911377419387,24186.917950724004,1.006884404980783,True,variance_outlier
raw,E64,195.02310448530602,787.6905422575655,0.8235519263234576,25364.023368534814,1.0199184581802767,False,
raw,E65,173.3364923376963,649.4849563260486,0.8663836362005023,32545.967735552942,1.0025020935749696,False,
raw,E66,169.31608698348816,627.7339668800919,0.8507072289618058,32616.250239912148,1.0046829803516188,False,
raw,E67,158.5632356611922,577.9067257207923,0.830003438273401,46049.60250159442,1.0041341266107047,False,
raw,E68,247.3654604208987,1152.8575272055432,0.616566477650173,24723.295696863457,1.0427142740906121,False,
raw,E69,189.29678596864832,777.3231049524238,0.8083731819507003,17251.99076916534,1.0071555294312957,False,
raw,E70,190.0286261259183,740.0894254753209,0.8207159424750368,38256.09020133116,1.0212193093071666,False,
raw,E71,166.09816180796585,598.1869563273349,0.8280986398322998,48502.887079626125,1.0079388914613707,False,
