channel,mean_uv,global_std_uv,global_peak_to_peak_uv,sampled_local_std_uv,sampled_local_peak_to_peak_uv,flat_fraction,nonfinite_values,median_channel_correlation,line_noise_ratio_50hz,high_frequency_ratio_35_45_to_8_30,robust_z_log_std,robust_z_log_peak_to_peak,robust_z_log_line_noise,robust_z_log_high_frequency,robust_z_median_correlation,suspect,suspect_reasons
E11,-38960.73712461024,51363.72126989545,664627.25,202.78792216500628,739.8076981165791,0.00012906307624067445,0,0.9937313515266375,63310.126719937005,0.09455467906687318,-0.06389532954110944,0.011358247664402932,1.3178019883318481,-0.559855180088937,0.8245966252429525,False,
E12,-33489.541817559155,54239.81093370134,657400.6875,198.88656394102546,655.255549421081,0.00013796397805037613,0,0.985184112613056,72465.05744766713,0.09070909694366913,-0.2286401716003673,-0.5167720268469688,1.502857175319252,-0.6337571864163707,-1.1386303575497807,False,
E13,-35896.85861479519,52828.357790299524,483158.34375,175.36965372683943,567.5397562499443,0.00014538139622512753,0,0.9921684683967215,56477.51647493874,0.17682091808631503,-1.2958268491162197,-1.1421582563279395,1.161323939344277,0.5542810039517132,0.4656158640140547,False,
E14,-39944.06948802012,51545.77837913037,665710.84375,223.1420066142958,1091.2910656936747,0.0008322343192071076,0,0.99130790317426,25859.525805127138,0.14850519234618506,0.7472541963660679,1.7029353330421313,0.09099040393471731,0.24365962790138243,0.2679514624135767,False,
E15,-43210.60328536828,49967.97281618416,663993.3124999999,212.31356020659854,952.0207691568594,0.0011897538752301253,0,0.9821028625498024,32791.49016438091,0.14171543630614838,0.32539411454760697,1.108813613293324,0.4163940911255787,0.1603630021062842,-1.846366894000086,False,
E16,-41658.930391624664,49972.434848021505,664721.125,203.64296376667096,809.6467932367914,0.00014538139622512753,0,0.9920738679915608,40521.261300685015,0.1221055162176492,-0.028212624583561212,0.40390540452266327,0.7064030151669339,-0.10472529341102244,0.4438869677152325,False,
E17,-39780.49641783447,51711.99319378263,661781.6875,217.6362664698865,983.7131761571973,0.0009776157154322352,0,0.9931114468127091,25318.819826451054,0.15989978399660207,0.5353816403857653,1.2513172871397844,0.062037093457741416,0.37524190084950193,0.6822098646235952,False,
E18,-42983.3280112876,48922.458423343596,661037.78125,212.98945823270026,795.321575040196,0.00013203004351057502,0,0.9861259994256996,33261.613120248854,0.16676941890761815,0.35234913497718884,0.32622276125725425,0.43589849603536096,0.45011257789240644,-0.9222870888036444,False,
E19,-38169.93385465545,51456.88830043321,660647.90625,192.59671622925828,663.9207348545797,0.00013796397805037613,0,0.9930280496975739,58428.5119971135,0.11379008871862523,-0.5011742856655297,-0.4596032414357636,1.2078570769246837,-0.23026091492827935,0.6630542673159683,False,
E20,-40765.9128230698,49912.19308250959,641586.8125,196.47803895319578,638.0565590567358,0.00013944746168532643,0,0.9934424177319401,41996.916646051184,0.1933943547538529,-0.33196753108894,-0.6325172045733691,0.7554134714578646,0.7137480243656781,0.7582310272146453,False,
E21,-37391.8077288658,53262.63440297216,657216.25,237.20629596592602,1310.65709183038,0.0012935977296766451,0,0.9926179960363829,22000.651556807272,0.1664467797730489,1.2656040851826926,2.5000031669961538,-0.13043998510766636,0.446665799685305,0.5688684816859614,False,
E22,-39235.37087012258,52028.402904946954,661291.5624999999,205.12092732799294,854.9686252655692,0.0007981141956032512,0,0.9930442339672575,23734.749570443022,0.17112489191389485,0.033114087480753986,0.6409219064294328,-0.02648710339725111,0.4960007507958224,0.6667716543295952,False,
E23,-44481.84829234907,49001.54105108742,665324.28125,171.5677801580468,634.5074215094701,0.0009865166172419368,0,0.9752278952743382,19905.498782369657,0.2187192590547758,-1.4817016345150777,-0.6567901245212631,-0.2675620422006292,0.9327765510637431,-3.4254875196750803,False,
E24,-44879.354922911145,48195.796461266844,661165.3124999999,201.53299275067906,687.5434210538078,0.00023290693068719412,0,0.9820464033252538,27363.327688600133,0.2509649387042,-0.11653959528010098,-0.3074620972995694,0.16843929773151098,1.1775540977943024,-1.8593350904178962,False,
E25,-37495.94301994019,52954.19450205183,660639.8125,258.0561621162939,1577.8397159635672,0.0009464625590982793,0,0.9915840346997808,19969.946178698792,0.14065523760204707,1.9800695022738182,3.307344601579643,-0.2631330251575217,0.1469972936480977,0.3313764897450197,False,
E26,-40712.85693979911,50450.36681452551,663310.1875,222.6793774852672,977.0234513467785,0.00027889492337065285,0,0.9900764711066447,19008.79545235966,0.2168052835952847,0.7296535417441002,1.2216233100144613,-0.3307193557152122,0.9171325156000416,-0.01489785150663767,False,
E27,-44769.869506458635,47856.108431666165,660988.15625,208.40611077544145,723.1434942036722,0.00013648049441542586,0,0.9787526584396997,14819.029209812648,0.3211261311280484,0.16786181148911225,-0.0877822767207291,-0.6718796555582867,1.6163329848822698,-2.61587985290025,False,
E28,-41598.40395956231,49508.1797231064,655740.5625,212.63430791272992,823.853481173398,0.0001349970107804756,0,0.990009782137208,13780.464065679638,0.4011084851621553,0.3381963135383985,0.4795995468847961,-0.7714370578496501,2.012176055875131,-0.030215732003060932,False,
E29,-34579.31302252701,53589.68122717453,657145.3125,196.02158190678063,641.2182441936327,0.0001409309453202767,0,0.9909696551057322,32651.347298103516,0.30836566013187366,-0.35169255128396415,-0.6110075543066628,0.41052573208175536,1.5441627041541053,0.19025880145892798,False,
E30,-33393.31512923428,54206.98137147753,621856.65625,186.9685455817877,602.810585991267,0.000142414428955227,0,0.989465083963763,36077.06784206874,0.3220036226026365,-0.7526923702684654,-0.8797913731993021,0.5472302259901409,1.621189970720809,-0.15532819959607777,False,
E31,-33022.779521421035,54209.25126389324,302512.109375,143.35620970012286,436.9532848982045,0.0001646666834794812,0,0.9865535191396123,61009.790915033314,0.23806154908625476,-3.0052066791045986,-2.280030930645123,1.2670903973755956,1.0836045898269702,-0.8240895016628808,False,
E32,-40056.74044508632,51447.978924358875,660860.0,207.68761599934138,850.1292186432711,0.0007669610392692953,0,0.9857123157934489,11206.35059247631,0.25392531948331326,0.1385738284156812,0.6162205007311292,-1.0547506537136302,1.198426759098601,-1.0173066474454142,False,
E33,-39843.83650666307,50490.36843248786,650576.03125,203.96037480670793,837.8318079471837,0.00013648049441542586,0,0.9929633355347848,10299.45884418634,0.260625426649606,-0.015004505680773522,0.5528135833994858,-1.1703790298834749,1.2447821607399576,0.648189982856283,False,
E34,-39954.10508329527,50448.43967325801,655597.3125,214.85632686530855,1065.8151925049324,0.00016169971620958064,0,0.992733040660212,6343.516518115067,0.42972852868416894,0.42635835778511977,1.600144253759126,-1.8344471084023355,2.1348489428618094,0.5952932385004163,False,
E35,-33638.26806128249,54087.11848930653,651520.3125,202.54574718139497,806.4793252802737,0.00014389791259017726,0,0.9863526662887555,18690.670149190886,0.2895950275428192,-0.07402915073251351,0.38684791039675154,-0.353844287869087,1.4323808644876637,-0.8702236673694638,False,
E36,-30905.736486895486,55665.69457491766,596352.28125,193.69853963192725,735.9557591032337,0.0001335135271455253,0,0.9736693477545988,16291.257403739555,0.3390162497423485,-0.45279601028834704,-0.011358247664398483,-0.5421011506740729,1.7128278543048345,-3.7834724286794486,True,low_correlation
E37,-31791.12218690744,55027.53784321657,367970.3671875,107.27968963898589,380.1726109576656,0.0001498318471299784,0,0.9843025338572661,10670.868578097521,0.24673731044320835,-5.4636747088275595,-2.8857757989302675,-1.1218389344167186,1.1473156218190994,-1.3411213863279297,True,variance_outlier
E38,-42042.837846556096,50224.25677532006,652997.84375,238.86409590651905,913.6792695238473,0.0007951472283333507,0,0.9908100158716006,17453.17596619774,0.2014181339105138,1.3246676002057756,0.9299318290499758,-0.4477054066400864,0.7861032915340614,0.15359104768155127,False,
E39,-39897.454706009965,50523.06436667655,655202.8125,213.22063125664403,906.2303015494508,0.00012757959260572418,0,0.9915634992756337,4751.35339733962,0.3662113685462367,0.361548758536701,0.8943091632375457,-2.2304338520827542,1.850168575307927,0.32665968011837904,False,
E40,-42176.88035955621,49126.4910402594,660462.21875,210.96146609968574,1031.7563524205088,0.0001557657816697795,0,0.9870486774344838,3607.6705017885356,0.5006540804806956,0.2712136981684159,1.4588160187292243,-2.6077361050869996,2.406747447452681,-0.7103559164578835,False,
