trial,channel,correlation,nrmse,delta_relative_error,theta_relative_error,alpha_relative_error,beta_relative_error,gamma_relative_error
5,E28,0.9051838880012686,0.44691171328034096,0.5807600274104733,0.27502829143986735,0.1980273092150936,0.18353700744396345,0.002826307640393749
5,E41,0.783540562743534,0.8668853688131319,1.710951407774534,0.08880434125177622,0.17493214374691912,0.05759887566850094,0.010314436481921749
5,E65,0.7026775363583156,1.0172469580480672,1.4169274400701786,0.6801647837660236,0.3333545471427636,1.2435769295774066,3.5735098280182105
5,E83,0.5451786975781941,1.3910920358076238,2.302150650544686,0.2737334786445852,0.12209764723363813,0.016925981579610914,0.024744049837654134
5,E96,0.08394586517640742,9.175208657344616,187.42385687037327,14.426264857386187,1.2203385981237753,1.340771797643069,0.847437672023345
5,E116,0.04220701808716509,20.247813104155743,3515.321822061168,242.96673471490806,31.228477685911372,21.580784041414066,6.923241444415906
6,E5,0.11123802425615192,4.459715678935734,10.44331584864363,3.676169581879292,0.8336744871564108,0.9439932879404339,0.40987191569450976
6,E18,0.8636520175961223,0.6749738037045813,0.5789173894089256,0.17801266559498072,0.02942622336514511,0.13278147545166394,0.11592054221273054
6,E28,0.5315763953522988,0.9833591607041777,0.06016612442692891,0.2682419608202197,0.2719024314043447,0.42854779528026754,0.5615195843881201
6,E41,0.5040427572272884,1.0478453069130538,0.7232795481835549,0.2611682039648661,0.0992264474472166,0.14532759334676187,0.2921681312882234
6,E65,0.6448968056134452,1.1298379787648687,1.0734671691520827,0.6828479174199119,0.10259114222436523,0.7966257083719466,1.4577582335434123
6,E83,0.6377380357832724,1.1538499211081068,1.4511996130556093,0.12109891574420015,0.11720815781468798,0.037710180589431756,0.21192171692564246
6,E96,0.06984341505819057,10.970814490134508,120.14923532217999,19.421297798563195,1.321667323939482,1.238745849494882,0.12076688568149138
6,E116,0.008510001214274985,25.964961329256088,1897.8454470143,303.3403315778287,34.179902170213616,4.540695896138568,0.09183139209892419
7,E5,0.11599226948796817,9.439896638241915,54.311120509938924,10.233846438468007,2.0970958916732894,1.2416816922646505,0.384714241725077
7,E18,0.5868337880209651,1.2703337346597803,1.0317660687639512,0.13497744251493546,0.09752038809509418,0.19006311863766312,0.08723879114820872
7,E28,0.516924664746802,1.096188928867075,0.42062626906338013,0.2270195726967316,0.2511135688557073,0.5118071429597595,0.5824122377437032
7,E41,0.3316861571053036,1.5009198416848646,1.036071450646013,0.4245344444074462,0.042674998422335936,0.30261656824094385,0.57222578319351
7,E65,0.49573453655811833,1.7162392412217784,2.317211844032934,2.462745173410059,0.9985977238793455,1.9716374601021092,2.0230914134400813
7,E83,0.4215672784288945,1.7394715742720646,1.743503462889525,0.1473309462152683,0.1160237622379283,0.015710944759142826,0.2448220376268387
7,E96,0.1223037694696356,14.401048354359373,160.42088447290357,18.38052615372581,2.84088114633386,0.9147884416236205,0.43545698451399734
7,E116,-0.0227149996756923,38.249486808415945,2410.9935175010864,283.021574285751,54.64355885974656,3.7277429318651603,0.20643358118303382
8,E5,0.05022354305332374,5.648407514291341,13.981733613347828,5.478179066371834,1.586465376091638,1.5960632709570344,0.5673521743839564
8,E18,0.8169446728256844,0.804524908182526,0.5058029788388267,0.325826740978675,0.04994948635607348,0.3118621847616206,0.48562899341472116
8,E28,0.49867285979861314,1.0478896628545897,0.04426975055690837,0.1941563184852334,0.22708332246498308,0.2536251507195145,0.3199876912086442
8,E41,0.5034799618846757,1.4829210756789128,2.24720034223035,1.1123381684446914,0.12482889234065282,0.401411862116748,0.8598724520078167
8,E65,0.3472800109952407,2.615621156101259,6.926268989692528,5.958721208161956,1.3227584331849902,4.239579002488709,10.42750456358725
8,E83,0.5711682884491135,1.3525194192369467,1.7776307499225883,0.21895598751801434,0.1825450014471608,0.05550984667512559,0.24357012595363708
8,E96,0.03357064743843585,12.928362331301631,149.881206547395,18.155292842808425,1.8432513639992572,2.007906285720147,1.2389903979252037
8,E116,0.08632838883490569,56.38554143543759,3460.665949316944,423.98558087924005,52.31744119665405,29.325379063876415,11.470025827908056
9,E5,0.018740001218642874,5.508803346896789,9.68671672495895,3.601518241431799,0.7839159155874786,0.7528083822236207,0.3082719223923092
9,E18,0.7744447754861058,0.8376752946165649,0.39438068808049437,0.22535985360392946,0.08087048271180194,0.38238223136623795,0.5179170572512456
9,E28,0.20785342808898558,1.051917500834961,0.5561338310379231,0.5256533854694861,0.36870180443505934,0.5125610167127677,0.5954491722800721
9,E41,0.24248691079882378,1.1741837372488715,0.19304213746778634,0.39797540544740484,0.02170737578432474,0.17548761827565873,0.15766844666403693
9,E65,0.4535249041043003,1.797566158628626,2.504568018470584,3.3648688037572785,0.9437469388824636,4.258905910944805,7.847240100146655
9,E83,0.580300718650819,1.3080571339035516,0.9373463999459286,0.21243444679957293,0.13439355163828223,0.040172421569929055,0.18176294597364212
9,E96,0.1263836005693849,11.484847212028182,86.73311472935525,12.132969244693886,0.809446398666295,1.0589303417634688,0.02195315110363233
9,E116,0.06411829204913369,27.655155751402425,767.3434056201694,188.42831910472128,21.59527047422752,11.131869918542659,1.4925087354519941
10,E5,0.045462759294922044,9.529098369597273,31.777627603396574,9.185275257322136,1.6086189320338506,1.859823294170065,0.827524169899377
10,E18,0.6285060723006284,1.3350046452653817,0.7084552278981217,0.24971568756817192,0.08397390475864959,0.19622912367626386,0.10145675659465389
10,E28,0.1777767968902876,1.1616874893448341,0.5720455404971033,0.42042320429883945,0.3087805414919195,0.5443879597394322,0.6878380072347553
10,E41,0.1061923699822614,1.3881553830611775,0.43871734258413564,0.16473144507318543,0.018558950037375118,0.299313547745583,0.43694940491074
