trial,state,channel,std_uv,peak_to_peak_uv,median_correlation_to_others,common_mode_rms_uv
5,filtered,E103,5518.149725659665,47089.369710345745,-0.012803539524340497,44.71219494089998
5,interpolated,E50,24.996821264711212,426.3294778714094,0.7646692377159539,12.351272801626367
5,interpolated,E103,9.931369128449846,155.28422891027472,0.6764432845634812,12.351272801626367
5,average_referenced,E50,24.996821264711212,426.3294778714094,-0.1080591893762,0.2606428363761176
5,average_referenced,E103,9.931369128449846,155.28422891027472,-0.11085896802108053,0.2606428363761176
6,filtered,E50,115.68124288649713,1067.2313095699124,0.03621344543399095,42.72763313493701
6,filtered,E103,5338.9089741721655,35395.648971918345,0.03458073184745855,42.72763313493701
6,interpolated,E50,12.154341744116719,127.05584874810347,0.35851486050251,5.895087033696843
6,interpolated,E103,7.816185890647477,84.44393876175363,0.36528273349919804,5.895087033696843
6,average_referenced,E50,12.154341744116719,127.05584874810347,0.09815441368636545,0.13038101604972777
6,average_referenced,E103,7.816185890647477,84.44393876175363,0.1554005958779625,0.13038101604972777
7,filtered,E50,188.8181520049988,1882.8385033942277,-0.030946208729868016,51.3041166041238
7,filtered,E103,6591.221647226017,49202.05529536077,-0.05575408020091431,51.3041166041238
7,interpolated,E50,10.247140011562871,91.15888417792249,0.40748755825410177,5.493057070347717
7,interpolated,E103,6.964309469962402,67.97159448106476,0.29035251646284516,5.493057070347717
7,average_referenced,E50,10.247140011562871,91.15888417792249,-0.025089144473571818,0.11216627360106877
7,average_referenced,E103,6.964309469962402,67.97159448106476,0.034295990118049076,0.11216627360106877
8,filtered,E50,415.7393712732113,4624.262903756526,0.026860271127374935,55.05638149088647
8,filtered,E103,6884.021508809958,55304.930513777865,0.05069651903529373,55.05638149088647
8,interpolated,E50,11.622558792697467,112.60785321915193,0.5012659033725472,6.444888918879341
8,interpolated,E103,7.5430117809326305,55.591322508229524,0.4304849192669905,6.444888918879341
8,average_referenced,E50,11.622558792697467,112.60785321915193,0.15923988053869562,0.12777753261860922
8,average_referenced,E103,7.5430117809326305,55.591322508229524,0.13955601993358574,0.12777753261860922
9,filtered,E50,242.62069292629505,2433.9801931264615,0.01163412434501021,45.99166217144619
9,filtered,E103,5752.7836725590705,40195.663281203844,0.01739104934838031,45.99166217144619
9,interpolated,E50,12.068513705550032,184.16864663137756,0.47092753610134525,6.518113801278106
9,interpolated,E103,8.022977598202024,84.26783673903154,0.454887542805181,6.518113801278106
9,average_referenced,E50,12.068513705550032,184.16864663137756,0.07004592744045092,0.1373319689547936
9,average_referenced,E103,8.022977598202024,84.26783673903154,0.11810549110755152,0.1373319689547936
10,filtered,E50,170.17584161851312,1422.463313724325,0.008361786199710682,72.65808317445637
10,filtered,E103,9237.093744465685,89916.96740898692,0.04130205524801231,72.65808317445637
10,interpolated,E50,14.087766037867285,181.08105379016342,0.24819882473041588,8.802551426339814
10,interpolated,E103,28.777855371441607,451.7499248190845,0.06601341947944023,8.802551426339814
10,average_referenced,E50,14.087766037867285,181.08105379016342,-0.0009798637335703862,0.24397302190885511
10,average_referenced,E103,28.777855371441607,451.7499248190845,-0.35330849047876595,0.24397302190885511
11,filtered,E50,181.58348274498147,1604.4683070330677,0.049276212535123994,52.878675117801386
11,filtered,E103,6708.341024838627,44977.804519024896,0.010283351807638856,52.878675117801386
11,interpolated,E50,14.139201250987417,187.1279346022856,0.27500184514642934,9.065399875033917
11,interpolated,E103,10.36606797378285,234.3804146866397,0.2496862187566078,9.065399875033917
11,average_referenced,E50,14.139201250987417,187.1279346022856,-0.05137431006291177,0.14697236506708347
11,average_referenced,E103,10.36606797378285,234.3804146866397,0.04517903046894254,0.14697236506708347
